source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
PHILIPS_XML,2081500024,WAVEFORM,Philips XML,2082499943,WAVEFORM,2025-12-05,2099-12-31,
WF100001,2081500025,WAVEFORM,Physiological monitoring,4158083,SNOMED,2025-12-05,2099-12-31,
WF100002,2081500026,WAVEFORM,Diagnostic ECG,2082499974,WAVEFORM,2025-12-05,2099-12-31,
WF100003,2081500027,WAVEFORM,Low signal quality,2082499971,WAVEFORM,2025-12-05,2099-12-31,
WF100004,2081500028,WAVEFORM,sps,2082499972,WAVEFORM,2025-12-05,2099-12-31,
WF100005,2081500029,WAVEFORM,dB,44777591,UCUM,2025-12-05,2099-12-31,
WF100006,2081500030,WAVEFORM,kΩ,2082499960,WAVEFORM,2025-12-05,2099-12-31,
WF100007,2081500031,WAVEFORM,aVF,2082499979,WAVEFORM,2025-12-05,2099-12-31,
WF100008,2081500032,WAVEFORM,aVL,2082499973,WAVEFORM,2025-12-05,2099-12-31,
WF100009,2081500033,WAVEFORM,aVR,2082499989,WAVEFORM,2025-12-05,2099-12-31,
WF100010,2081500034,WAVEFORM,I,2082499990,WAVEFORM,2025-12-05,2099-12-31,
WF100011,2081500035,WAVEFORM,RESOLUTION,2082499969,WAVEFORM,2025-12-05,2099-12-31,
WF100012,2081500036,WAVEFORM,SAMPLERATE,2082499968,WAVEFORM,2025-12-05,2099-12-31,
WF100013,2081500037,WAVEFORM,V6,2082499983,WAVEFORM,2025-12-05,2099-12-31,
WF100014,2081500038,WAVEFORM,V1,2082499950,WAVEFORM,2025-12-05,2099-12-31,
WF100015,2081500039,WAVEFORM,V2,2082499944,WAVEFORM,2025-12-05,2099-12-31,
WF100016,2081500040,WAVEFORM,V3,2082499954,WAVEFORM,2025-12-05,2099-12-31,
WF100017,2081500041,WAVEFORM,V4,2082499981,WAVEFORM,2025-12-05,2099-12-31,
WF100018,2081500042,WAVEFORM,V5,2082499956,WAVEFORM,2025-12-05,2099-12-31,
WF100019,2081500043,WAVEFORM,VX1,2082499982,WAVEFORM,2025-12-05,2099-12-31,
WF100020,2081500044,WAVEFORM,VX2,2082499980,WAVEFORM,2025-12-05,2099-12-31,
WF100021,2081500045,WAVEFORM,VX3,2082499941,WAVEFORM,2025-12-05,2099-12-31,
WF100022,2081500046,WAVEFORM,VX4,2082499977,WAVEFORM,2025-12-05,2099-12-31,
WF100023,2081500047,WAVEFORM,GLOBAL,2082499942,WAVEFORM,2025-12-05,2099-12-31,
WF100024,2081500048,WAVEFORM,II,2082499966,WAVEFORM,2025-12-05,2099-12-31,
WF100025,2081500049,WAVEFORM,III,2082499947,WAVEFORM,2025-12-05,2099-12-31,
WF100026,2081500050,WAVEFORM,WF device firmvare version,2082499948,WAVEFORM,2025-12-05,2099-12-31,
WFDB,2081500051,WAVEFORM,WFDB,2082499975,WAVEFORM,2025-12-05,2099-12-31,
XML,2081500052,WAVEFORM,XML,2082499958,WAVEFORM,2025-12-05,2099-12-31,
